code,description
E2625,Adj skin pro/pos wc cus>=22
E2626,Seo mobile arm sup att to wc
E2627,Arm supp att to wc rancho ty
E2628,Mobile arm supports reclinin
E2629,Friction dampening arm supp
E2630,Monosuspension arm/hand supp
E2631,Elevat proximal arm support
E2632,Offset/lat rocker arm w/ela
E2633,Mobile arm support supinator
E3000,Speech volume modulation sys
E3200,Gait mod systm rhym auditory
E8000,Posterior gait trainer
E8001,Upright gait trainer
E8002,Anterior gait trainer
G0008,Admin influenza virus vac
G0009,Admin pneumococcal vaccine
G0010,Admin hepatitis b vaccine
G0011,"Hiv prep counsel, md 15-30m"
G0012,Injection of hiv prep drug
G0013,"Hiv prep counsel, clin staff"
G0017,Crisis psychotherapy 60m
G0018,Crisis psychotherapy add 30m
G0019,Comm hlth intg svs sdoh 60mn
G0022,Comm hlth intg svs add 30 m
G0023,Pin service 60m per month
G0024,Pin srv add 30 min pr m
G0027,Semen analysis
G0028,Doc med rsn no scr tob
G0029,No tob scr/cess int
G0030,Pt scr tob & cess int
G0031,Pall serv during meas
G0032,2+ antipsy schiz
G0033,2+ benzo seiz
G0034,Pall serv during meas
G0035,Pt ed pos 23
G0036,Pt/ptn decln assess
G0037,Pt not able to participate
G0038,Clin pt no ref
G0039,"Pt no ref, rn spec"
G0040,Pt phys/occ therapy
G0041,Pt/ptn decln referral
G0042,Ref to therapy
G0043,Pt mech pros ht valv
G0044,Pt mitral stenosis
G0045,Mrs 90 days post stk
G0046,No mrs 90 days post stk
G0047,Ped blunt hd traum
G0048,Pall serv during meas
G0049,Main hemo in-cntr
G0050,Pt w/ lmted life expec
G0051,Pt hospice mnth
G0052,Pt peri dialysis dur mo
G0053,Adv rheum pt care mvp
G0054,Strk cr prev pos outcme mvp
G0055,Adv care heart dx mvp
G0056,Opt chronic dx mang mvp
G0057,Best pct pt safety em mvp
G0058,Imprv care le jnt repr mvp
G0059,Pt sfty pos exp w aneth mvp
G0060,Allergy/immunology ss
G0061,Anesthesiology ss
G0062,Audiology ss
G0063,Cardiology ss
G0064,Cert nurse midwife ss
G0065,Chiropractic ss
G0066,Clinical social work ss
G0067,Dentistry ss
G0068,Adm iv infusion drug in home
G0069,Adm sq infusion drug in home
G0070,Adm of chemo drug in home
G0071,Comm svcs by rhc/fqhc 5 min
G0076,Care manag h vst new pt 20 m
G0077,Care manag h vst new pt 30 m
G0078,Care manag h vst new pt 45 m
G0079,Care manag h vst new pt 60 m
G0080,Care manag h vst new pt 75 m
G0081,Care man h v ext pt 20 mi
G0082,Care man h v ext pt 30 m
G0083,Care man h v ext pt 45 m
G0084,Care man h v ext pt 60 m
G0085,Care man h v ext pt 75 m
G0086,Care man home care plan 30 m
G0087,Care man home care plan 60 m
G0088,Adm iv drug 1st home visit
G0089,Adm subq drug 1st home visit
G0090,Adm iv chemo 1st home visit
G0101,Ca screen;pelvic/breast exam
G0102,Prostate ca screening; dre
G0103,Psa screening
G0104,Ca screen;flexi sigmoidscope
G0105,Colorectal scrn; hi risk ind
G0106,Colon ca screen;barium enema
G0108,Diab manage trn  per indiv
G0109,Diab manage trn ind/group
G0117,Glaucoma scrn hgh risk direc
G0118,Glaucoma scrn hgh risk direc
G0120,Colon ca scrn; barium enema
G0121,Colon ca scrn not hi rsk ind
G0122,Colon ca scrn; barium enema
G0123,Screen cerv/vag thin layer
G0124,Screen c/v thin layer by md
G0127,Trim nail(s)
G0128,Corf skilled nursing service
G0129,Php/iop ot service
G0130,Single energy x-ray study
G0136,Adm of pa/n assess 5-15 m
G0137,"Inten outpt svs,min 9 pr 7 d"
G0138,Iv cipaglucosidase alfa-atga
G0140,Nav srv peer sup 60 min pr m
G0141,"Scr c/v cyto,autosys and md"
G0143,"Scr c/v cyto,thinlayer,rescr"
G0144,"Scr c/v cyto,thinlayer,rescr"
G0145,"Scr c/v cyto,thinlayer,rescr"
G0146,Nav srv peer sup add 30 pr m
G0147,"Scr c/v cyto, automated sys"
G0148,"Scr c/v cyto, autosys, rescr"
G0151,"Hhcp-serv of pt,ea 15 min"
G0152,"Hhcp-serv of ot,ea 15 min"
G0153,"Hhcp-svs of s/l path,ea 15mn"
G0154,"Hhcp-svs of rn,ea 15 min"
G0155,"Hhcp-svs of csw,ea 15 min"
G0156,"Hhcp-svs of aide,ea 15 min"
G0157,Hhc pt assistant ea 15
G0158,Hhc ot assistant ea 15
G0159,Hhc pt maint ea 15 min
G0160,Hhc occup therapy ea 15
G0161,Hhc slp ea 15 min
G0162,"Hhc rn e&m plan svs, 15 min"
G0163,Hhc lpn/rn obs/asses ea 15
G0164,Hhc lis nurse train ea 15
G0166,"Extrnl counterpulse, per tx"
G0168,Wound closure by adhesive
G0173,Linear acc stereo radsur com
G0175,"Opps service,sched team conf"
G0176,Opps/php/iop; activity thrpy
G0177,Opps/php/iop; train & educ
G0179,Md recertification hha pt
G0180,Md certification hha patient
G0181,Home health care supervision
G0182,Hospice care supervision
G0183,Software meas of cardiac vol
G0186,"Dstry eye lesn,fdr vssl tech"
G0202,Scr mammo bi incl cad
G0204,Dx mammo incl cad bi
G0206,Dx mammo incl cad uni
G0219,Pet img wholbod melano nonco
G0235,"Pet imaging, any site, not otherwise specified"
G0237,Therapeutic procd strg endur
G0238,"Oth resp proc, indiv"
G0239,"Oth resp proc, group"
G0245,Initial foot exam pt lops
G0246,Followup eval of foot pt lop
G0247,Routine footcare pt w lops
G0248,Demonstrate use home inr mon
G0249,Provide inr test mater/equip
G0250,Md inr test revie inter mgmt
G0251,Linear acc based stero radio
G0252,Pet imaging initial dx
G0255,Current percep threshold tst
G0257,Unsched dialysis esrd pt hos
G0259,Inject for sacroiliac joint
G0260,Inj for sacroiliac jt anesth
G0268,Removal of impacted wax md
G0269,Occlusive device in vein art
G0270,Mnt subs tx for change dx
G0271,Group mnt 2 or more 30 mins
G0276,Pild/placebo control clin tr
G0277,"Hbot, full body chamber, 30m"
G0278,"Iliac art angio,cardiac cath"
G0279,"Tomosynthesis, mammo"
G0281,Elec stim unattend for press
G0282,Elect stim wound care not pd
G0283,Elec stim other than wound
G0288,"Recon, cta for surg plan"
G0289,"Arthro, loose body + chondro"
G0293,"Non-cov surg proc,clin trial"
G0294,"Non-cov proc, clinical trial"
G0295,Electromagnetic therapy onc
G0296,Visit to determ ldct elig
G0297,Ldct for lung ca screen
G0299,Hhs/hospice of rn ea 15 min
G0300,Hhs/hospice of lpn ea 15 min
G0302,Pre-op service lvrs complete
G0303,Pre-op service lvrs 10-15dos
G0304,Pre-op service lvrs 1-9 dos
G0305,Post op service lvrs min 6
G0306,Cbc/diffwbc w/o platelet
G0307,Cbc without platelet
G0308,180 d implant glucose sensor
G0309,Rem/inser glu sensor dif sit
G0310,Immunize counsel 5-15 min
G0311,Immunize counsel 16-30 mins
G0312,Immunize couns < 21yr 5-15 m
G0313,Immunize couns < 21yr 6-30 m
G0314,Counsel immune <21 16-30 m
G0315,Counsel immune <21  5-15 m
G0316,Prolong inpt eval add15 m
G0317,Prolong nursin fac eval 15m
G0318,Prolong home eval add 15m
G0320,Two-way audio and video hhs
G0321,Audio-only hhs
G0322,Home h physio data collec tr
G0323,Care manage beh svs 20mins
G0327,Colon ca scrn;bld-bsd biomrk
G0328,Fecal blood scrn immunoassay
G0329,Electromagntic tx for ulcers
G0330,Facility svs dental rehab
G0333,Dispense fee initial 30 day
G0337,Hospice evaluation preelecti
G0339,"Robot lin-radsurg com, first"
G0340,Robt lin-radsurg fractx 2-5
G0341,Percutaneous islet celltrans
G0342,Laparoscopy islet cell trans
G0343,Laparotomy islet cell transp
G0364,Bone marrow aspirate &biopsy
G0365,Vessel mapping hemo access
G0372,Md service required for pmd
G0378,Hospital observation per hr
G0379,Direct refer hospital observ
G0380,Lev 1 hosp type b ed visit
G0381,Lev 2 hosp type b ed visit
G0382,Lev 3 hosp type b ed visit
G0383,Lev 4 hosp type b ed visit
G0384,Lev 5 hosp type b ed visit
G0389,Ultrasound exam aaa screen
G0390,Trauma respons w/hosp criti
G0396,Alcohol/subs interv 15-30mn
G0397,Alcohol/subs interv >30 min
G0398,Home sleep test/type 2 porta
G0399,Home sleep test/type 3 porta
G0400,Home sleep test/type 4 porta
G0402,Initial preventive exam
G0403,Ekg for initial prevent exam
G0404,Ekg tracing for initial prev
G0405,Ekg interpret & report preve
G0406,Inpt/tele follow up 15
G0407,Inpt/tele follow up 25
G0408,Inpt/tele follow up 35
G0409,Corf related serv 15 mins ea
G0410,Grp psych php/iop 45-50
G0411,Interactive grp psyc php/iop
G0412,Open tx iliac spine uni/bil
G0413,Pelvic ring fracture uni/bil
G0414,Pelvic ring fx treat int fix
G0415,Open tx post pelvic fxcture
G0416,"Prostate biopsy, any mthd"
G0417,Sat biopsy prostate 21-40
G0418,Sat biopsy prostate 41-60
G0419,Sat biopsy prostate: >60
G0420,Ed svc ckd ind per session
G0421,Ed svc ckd grp per session
G0422,Intens cardiac rehab w/exerc
G0423,Intens cardiac rehab no exer
G0424,Pulmonary rehab w exer
G0425,Inpt/ed teleconsult30
G0426,Inpt/ed teleconsult50
G0427,Inpt/ed teleconsult70
G0428,Collagen meniscus implant
G0429,Dermal filler injection(s)
G0431,Drug screen multiple class
G0432,Eia hiv-1/hiv-2 screen
G0433,Elisa hiv-1/hiv-2 screen
G0434,Drug screen multi drug class
G0435,Oral hiv-1/hiv-2 screen
G0436,Tobacco-use counsel 3-10 min
G0437,Tobacco-use counsel>10min
G0438,"Ppps, initial visit"
G0439,"Ppps, subseq visit"
G0442,Annual alcohol screen 15 min
G0443,Brief alcohol misuse counsel
G0444,Depression screen annual
G0445,High inten beh couns std 30m
G0446,Intens behave ther cardio dx
G0447,Behavior counsel obesity 15m
G0448,Place perm pacing cardiovert
G0451,Devlopment test interpt&rep
G0452,Molecular pathology interpr
G0453,Cont intraop neuro monitor
G0454,Md document visit by npp
G0455,Fecal microbiota prep instil
G0456,Neg pre wound <=50 sq cm
G0457,Neg pres wound >50 sq cm
G0458,Ldr prostate brachy comp rat
G0459,Telehealth inpt pharm mgmt
G0460,Autolog prp not diab ulcer
G0461,Immunohisto/cyto chem 1st st
G0462,Immunohisto/cyto chem add
G0463,Hospital outpt clinic visit
G0464,"Colorec ca scr, sto bas dna"
G0465,Autolog prp diab wound ulcer
G0466,Fqhc visit new patient
G0467,"Fqhc visit, estab pt"
G0468,"Fqhc visit, ippe or awv"
G0469,"Fqhc visit, mh new pt"
G0470,"Fqhc visit, mh estab pt"
G0471,Ven blood coll snf/hha
G0472,Hep c screen high risk/other
G0473,Group behave couns 2-10
G0475,Hiv combination assay
G0476,Hpv combo assay ca screen
G0477,Drug test presump optical
G0478,Drug test presump opt inst
G0479,Drug test presump not opt
G0480,Drug test def 1-7 classes
G0481,Drug test def 8-14 classes
G0482,Drug test def 15-21 classes
G0483,Drug test def 22+ classes
G0490,"Home visit rn, lpn by rhc/fq"
G0491,Dialysis acu kidney no esrd
G0492,Md/oth eval acut kid no esrd
G0493,Rn care ea 15 min hh/hospice
G0494,Lpn care ea 15min hh/hospice
G0495,Rn care train/edu in hh
G0496,Lpn care train/edu in hh
G0498,Chemo extend iv infus w/pump
G0499,Hepb screen high risk indiv
G0500,Mod sedat endo service >5yrs
G0501,Resource-inten svc during ov
G0502,"Init psych care manag, 70min"
G0503,"Subseq  psych care man,60mi"
G0504,Init/sub psych care add 30 m
G0505,Cog/func assessment  outpt
G0506,Comp asses care plan ccm svc
G0507,Care manage serv minimum 20
G0508,Crit care telehea consult 60
G0509,Crit care telehea consult 50
G0511,Ccm/bhi by rhc/fqhc 20min mo
G0512,Cocm by rhc/fqhc 60 min mo
G0513,"Prolong prev svcs, first 30m"
G0514,"Prolong prev svcs, addl 30m"
G0515,Cognitive skills development
G0516,"Insert drug del implant, >=4"
G0517,Remove drug implant
G0518,Remove w insert drug implant
G0519,New pt-cg dyad dem low cmplx
G0520,New pt-cg dyad dem mod cmplx
G0521,New pt-cg dyad dem hig cmplx
G0522,Mgt nw pt dementia low cmplx
G0523,Mgt nw pt dem mod-high cmplx
G0524,Est pt-cg dyad dem low cmplx
G0525,Est pt-cg dyad dem mod cmplx
G0526,Est pt-cg dyad dem hig cmplx
G0527,Mgt est pt dmentia low cmplx
G0528,Mgt est pt dem mod-hi cmplx
G0529,"In home respite care, 4 hr u"
G0530,"Adult daycare center, 8 hr u"
G0531,"Fclty-based respite, 24 hr u"
G0532,Take home supp nasal spray
G0533,Buprenorphone inj weekly
G0534,Coordinated care/or referral
G0535,Pt navigat svs direct/ref
G0536,Peer recover support svs
G0537,Risk ascvd tst once pr 12 mo
G0538,Ascvd rsk mng clin stf pr mo
G0539,Initial care training 30 m
G0540,Train for caregiver add 15
G0541,No pt prsnt train initial 30
G0542,No pt prsnt train add 15
G0543,Group train w/o patient
G0544,Post d/c phone follow up
G0545,Inherent visit to inpt
G0546,Phone/internet ehr assess
G0547,Phone/internet svs 11-20 m
G0548,Phone/inter svs 21-30 m
G0549,Phone/inter for treat>31m
G0550,Phone/inter for dx/treat >5m
G0551,Phn/intr svs fr dx treat 30m
G0552,Supply of digital device
G0553,Monthly tx for dmht 20mins
G0554,Add 20 m of monthly tx
G0555,Replacment pt electronic sys
G0556,Adv prim care mgmt lvl 1
G0557,Adv prim care mgmt lvl 2
G0558,Adv prim care mgmt lvl 3
G0559,Unrelat prac follow up visit
G0560,Safety plan interven
G0561,"Temp tube delivery, unil"
G0562,Complex simulation w/pet-ct
G0563,Sbrt w/positron emission del
G0564,365 d implant glucose sensor
G0565,Rem/ins glu snsr 365 dif sit
G0566,3d bn img algor drvd fr mri
G0567,Screening hep c detect
G0568,"Int psych care mng, 1 cal mo"
G0569,"Subs psych care mng, subs mo"
G0570,"Care manage serv, pr cal mo"
G0571,Intraop nerve cryoablation
G0574,Mgt new pt dem res care cmmi
G0575,Mgt est pt dem res care cmmi
G0577,"Vasc emb/occl organ, pgc"
G0659,Drug test def simple all cl
G0660,Team remote e/m new pt 10 mn
G0661,Team remote e/m new pt 20 mn
G0662,Team remote e/m new pt 30 mn
G0663,Team remote e/m new pt 45 mn
G0664,Team remote e/m new pt 60 mn
G0665,Team remote e/m est pt 10 mn
G0666,Team remote e/m est pt 15 mn
G0667,Team remote e/m est pt 25 mn
G0668,Team remote e/m est pt 40 mn
G0669,Eckm oap-initial period
G0670,Eckm oap-follow-on period(s)
G0671,Ckm oap-initial period
G0672,Ckm oap-follow-on period(s)
G0673,Msk oap-initial period
G0674,Bh oap-initial period
G0675,Bh oap-follow-on period(s)
G0676,"Std co-mgmt-eckm, ckm"
G0677,Std co-mgmt-msk
G0678,Std co-mgmt-bh
G0680,Cr art clc art vlv clc w rpt
G0681,App of non-sheet skin sub
G0682,App non-sheet skin sub add
G0683,App of non-sheet skin sub g
G0684,App non-sheet skin sb g addl
G0908,Hgb > 12 g/dl
G0909,Hbg not doc
G0910,Hgb <= 12 g/dl
G0913,Improve visual funct
G0914,Survey not complete
G0915,No improve visual funct
G0916,Satisfy with care
G0917,Care survey not complete
G0918,No satisfy with care
G0919,Flu immunize not avail
G0920,Type loc act doc
G0921,Doc pt reas no assess
G0922,Type loc act not doc
G1000,Cdsm applied pathways
G1001,Cdsm evicore
G1002,Cdsm medcurrent
G1003,Cdsm medicalis
G1004,Cdsm ndsc
G1005,Cdsm nia
G1006,Cdsm test approp
G1007,Cdsm aim
G1008,Cdsm cranberry pk
G1009,Cdsm sage health
G1010,Cdsm stanson
G1011,"Clinical decision support mechanism, qualified tool not otherwise specified, as defined by the medicare appropriate use criteria program"
G1012,Cdsm agilemd
G1013,Cdsm evidencecare
G1014,Cdsm inveniqa
G1015,Cdsm reliant
G1016,Cdsm speed of care
G1017,Cdsm healthhelp
G1018,Cdsm infinx
G1019,Cdsm logicnets
G1020,Cdsm curbside
G1021,Cdsm ehealthline
G1022,Cdsm intermountain
G1023,Cdsm persivia
G1024,Cdsm radrite
G1025,Pt mnth 1 mcp prov
G1026,Pt hemo > 3mo
G1027,Pt hemo < 3mo
G1028,Take home supply 8mg per 0.1
G2000,Blinded conv. tx mdd clin tr
G2001,Post d/c h vst new pt 20 m
G2002,Post-d/c h vst new pt 30 m
G2003,Post-d/c h vst new pt 45 m
G2004,Post-d/c h vst new pt 60 m
G2005,Post-d/c h vst new pt 75 m
G2006,Post-d/c h vst ext pt 20 m
G2007,Post-d/c h vst ext pt 30 m
G2008,Post-d/c h vst ext pt 45 m
G2009,Post-d/c h vst ext pt 60 m
G2010,Remot image submit by pt
G2011,Alcohol/sub misuse assess
G2012,Brief check in by md/qhp
G2013,Post-d/c h vst ext pt 75 m
G2014,Post-d/c care plan overs 30m
G2015,Post-d/c care plan overs 60m
G2020,Hi inten serv for sip model
G2021,Hea care pract tx in place
G2022,"Benef refuses service, mod"
G2023,Specimen collect covid-19
G2024,Spec coll snf/lab covid-19
G2025,Dis site tele svcs rhc/fqhc
G2058,Ccm add 20min
G2061,Qual nonmd est pt 5-10m
G2062,Qual nonmd est pt 11-20m
G2063,Qual nonmd est pt 21>min
G2064,Md mang high risk dx 30
G2065,Clin mang h risk dx 30
G2066,Inter devc remote 30d
G2067,Med assist tx meth wk
G2068,Med assist tx bupre oral
G2069,Med assist tx inject
G2070,Med assist tx implant
G2071,Med tx remove implant
G2072,Med tx insert/remove imp
G2073,Med tx naltrexone
G2074,Med assist tx no drug
G2075,"Medication assisted treatment, medication not otherwise specified; weekly bundle including dispensing and/or administration, substance use counseling, individual and group therapy, and toxicology testing, if performed (provision of the services by a medicare-enrolled opioid treatment program)"
G2076,Intake act w/med exam
G2077,Periodic assessment
G2078,Take-home meth
G2079,Take-hom buprenorphine
G2080,Add 30 mins counsel
G2081,Pt 66+ snp or ltc pos > 90d
G2082,Visit esketamine 56m or less
G2083,"Visit esketamine, > 56m"
G2086,Off base opioid tx 70min
G2087,"Off base opioid tx, 60 m"
G2088,"Off base opioid tx, add30"
G2089,A1c level 7 to 9%
G2090,Pt 66+ frailty and med dem
G2091,Pt 66+ frailty and adv ill
G2092,Ace arb arni
G2093,Med doc rsn no ace arn arni
G2094,Pt rsn no ace arn arni
G2095,Sys rsn no ace arn arni
G2096,No rsn ace arb arni
G2097,Dx uri 3d after other dx
G2098,Pt 66+ frailty and med dem
G2099,Pt 66+ frailty and adv ill
G2100,Pt 66+ frailty and med dem
G2101,Pt 66+ frailty and adv ill
G2102,Dil retinal eye exam
G2103,7 stereo photos interpret
G2104,Eye img valid w/7 stereo
G2105,Pt 66+ snp or ltc pos > 90d
G2106,Pt 66+ frailty and med dem
G2107,Pt 66+ frailty and adv ill
G2108,Pt 66+ snp or ltc pos > 90d
G2109,Pt 66+ frailty and med dem
G2110,Pt 66+ frailty and adv ill
G2112,Pred<=5 mg ra glu <6m
G2113,"Pred>5 mg >6m, no chg da"
G2114,Pt 66-80 frailty and med dem
G2115,Pt 66-80 frailty and med dem
G2116,Pt 66-80 frailty and adv ill
G2117,Pt 66-80 frailty and adv ill
G2118,Pt 81+ frailty
G2119,Calc vitd opt
G2120,No calc vitd opt
G2121,Psy dep anx ap and icd asse
G2122,Psy/dep/anx/apandicd noasse
G2123,Pt 66-80 frailty med dem
G2124,Pt 66-80 frailty adv ill
G2125,Pt 81+ frailty
G2126,Pt 66-80 frailty and adv ill
G2127,Pt 66-80 frailty and med dem
G2128,No aspirin med rsn
G2129,No bp outpt
G2130,Pt 66+ lt inst > 90
G2131,Pt 81+ frailty
G2132,Pt 66-80 frailty and med dem
G2133,Pt 66-80 frailty and adv ill
G2134,Pt 66+ frailty and med dem
G2135,Pt 66+ frailty and adv ill
G2136,Bk pain vas 6-20wk <= 3
G2137,Bk pain vas 6-20wk > 3
G2138,Bk pain vas 9-15mo <= 3
G2139,Bk pain vas 9-15mo > 3
G2140,Leg pain vas 6-20wk <= 3
G2141,Leg pain vas 6-20wk > 3
G2142,Fs odi 9-15mo postop<= 22
G2143,Fs odi 9-15mo > 22
G2144,Fs odi 6-20wk postop <= 22
G2145,Fsodi 6-20wk >22 or chg 30pt
G2146,Leg pain vas 9-15mo <= 3
G2147,Leg pain vas 9-15mo > 3
G2148,Mpm used
G2149,No mpm med rsn
G2150,No mpm
G2151,Dx degen neuro
G2152,Res change sc >=0
G2153,Hosp dur meas pd
G2154,Td 9 yrs start end meas
G2155,Hist contraindications
G2156,No prior td or hx contra
G2157,Pneum vacc 12 mo 60+
G2158,Pneum vacc adv rx
G2159,No pneum vacc 12 mo 60+
G2160,Herpzos 50+
G2161,Adv rx zos
G2162,No herpzos 50+
G2163,Infl vacc 07/01 to 06/30
G2164,Adv rx infl vacc
G2165,No infl vacc 07/01 to 06/30
G2166,No pt adm dx no neck fs prom
G2167,Res change sc < 0
G2168,Svs by pt in home health
G2169,Svs by ot in home health
G2170,Avf by tissue w thermal e
G2171,Avf use magnetic/art/ven
G2172,Tx for opioid use demo proj
G2173,Uri w comorb 12m oth dx
G2174,Uri new rx antibiotic 30d
G2175,Pt comorb dx 12m of epi
G2176,Outpt ed obs w inpt admit
G2177,Bronch w rx antibx 30d
G2178,Pt not elig low neuro ex
G2179,Med doc rsn no low ex
G2180,Inelig footwr eval
G2181,Bmi not doc medrsn ptref
G2182,Pt 1st biolog antirheum
G2183,Doc pt unable comm
G2184,No caregiver
G2185,Caregiver dem trained
G2186,Pt ref app rsrcs
G2187,Clin ind img hd trauma
G2188,Pt 50 yrs w/clin ind hd
G2189,Img hd abnml neuro exam
G2190,Ind img hd rad neck
G2191,Ind img hd pos hd ache
G2192,>55 yrs temp hd ache
G2193,<6yr new onset hd ache
G2194,New hdache ped pt dis
G2195,Occip hdache child
G2196,Screen unhlthy etoh use
G2197,Screen hlthy etoh use
G2198,Med rsn no unhlthy etoh
G2199,Not scrn etoh no rsn
G2200,Unhlthy etoh rcvd couns
G2201,Med rsn no brief couns
G2202,No rsn no brief couns
G2203,Med rsn no etoh couns
G2204,Pt 45-85 w/ scope
G2205,Preg drng adjv trtmt
G2206,Adjv trtmt chemo her2
G2207,Rsn no trtmt chem her2
G2208,No trtmt chemo and her2
G2209,Refused to participate
G2210,No neck fs prom no rsn
G2211,Complex e/m visit add on
G2212,Prolong outpt/office vis
G2213,Initiat med assist tx in er
G2214,Init/sub psych care m 1st 30
G2215,Home supply nasal naloxone
G2216,Home supply inject naloxon
G2250,"Remot img sub by pt, non e/m"
G2251,"Brief chkin, 5-10, non-e/m"
G2252,"Brief chkin by md/qhp, 11-20"
G3001,"Admin + supply, tositumomab"
G3002,Chronic pain mgmt 30 mins
G3003,Chronic pain mgmt addl 15m
G4000,Dermatology ss
G4001,Diagnostic rad ss
G4002,Ep cardio ss
G4003,Emergency med ss
G4004,Endocrinology ss
G4005,Family medicine ss
G4006,Gastroenterology ss
G4007,General surgery ss
G4008,Geriatrics ss
G4009,Hospitalists ss
G4010,Infectious disease ss
G4011,Internal medicine ss
G4012,Interventional rad ss
G4013,Mntal/behav/psych hlth ss
G4014,Nephrology ss
G4015,Neurology ss
G4016,Neurosurgical ss
G4017,Nutrition/dietician ss
G4018,Ob/gyn ss
G4019,Oncology/hema ss
G4020,Ophthalmology/optometry ss
G4021,Orthopedic surgery ss
G4022,Otolaryngology ss
G4023,Pathology ss
G4024,Pediatrics ss
G4025,Physical medicine ss
G4026,Phys/occ therapy ss
G4027,Plastic surgery ss
G4028,Podiatry ss
G4029,Preventive medicine ss
G4030,Pulmonology ss
G4031,Radiation oncology ss
G4032,Rheumatology ss
G4033,Skilled nursing facility ss
G4034,Speech language path ss
G4035,Thoracic surgery ss
G4036,Urgent care ss
G4037,Urology ss
G4038,Vascular surgery ss
G6001,Echo guidance radiotherapy
G6002,Stereoscopic x-ray guidance
G6003,Radiation treatment delivery
G6004,Radiation treatment delivery
G6005,Radiation treatment delivery
G6006,Radiation treatment delivery
G6007,Radiation treatment delivery
G6008,Radiation treatment delivery
G6009,Radiation treatment delivery
G6010,Radiation treatment delivery
G6011,Radiation treatment delivery
G6012,Radiation treatment delivery
G6013,Radiation treatment delivery
G6014,Radiation treatment delivery
G6015,Radiation tx delivery imrt
G6016,Delivery comp imrt
G6017,Intrafraction track motion
G6018,Ileoscopy w/stent
G6019,Colonoscopy lesion removal
G6020,Colonoscopy w/stent
G6021,"Unlisted procedure, intestine"
G6022,Sigmoidoscopy w/ablate tumr
G6023,Sigmoidoscopy w/stent
G6024,Lesion removal colonoscopy
G6025,Colonoscopy w/stent
G6027,Anoscopy hra w/spec collect
G6028,Anoscopy hra w/biopsy
G6030,Assay of amitriptyline
G6031,Assay of benzodiazepines
G6032,Assay of desipramine
G6034,Assay of doxepin
G6035,Assay of gold
G6036,Assay of imipramine
G6037,Assay of nortiptyline
G6038,Assay of salicylate
G6039,Assay of acetaminophen
G6040,Assay of ethanol
G6041,Assay of urine alkaloids
G6042,Assay of amphetamines
G6043,"Barbiturates, not elsewhere specified"
G6044,Assay of cocaine
G6045,Assay of dihydrocodeinone
G6046,Assay of dihydromorphinone
G6047,Assay of dihydrotestosterone
G6048,Assay of dimethadione
G6049,Asssay of epiandrosterone
G6050,Assay of ethchlorvynol
G6051,Assay of flurazepam
G6052,Assay of meprobamate
G6053,Assay of methadone
G6054,Assay of methsuximide
G6055,Assay of nicotine
G6056,Assay of opiates
G6057,Assay of phenothiazine
G6058,Drug confirmation
G8126,Pt treat w/antidepress12wks
G8127,Pt not treat w/antidepres12w
G8128,Pt inelig for antidepres med
G8395,Lvef>=40% doc normal or mild
G8396,Lvef not performed
G8397,Dil macula/fundus exam/w doc
G8398,Dil macular/fundus not perfo
G8399,Pt w/dxa results document
G8400,Pt w/dxa no results doc
G8401,Pt inelig osteo screen measu
G8404,Low extemity neur exam docum
G8405,Low extemity neur not perfor
G8406,Pt inelig lower extrem neuro
G8410,Eval on foot documented
G8415,Eval on foot not performed
G8416,Pt inelig footwear evaluatio
G8417,Calc bmi abv up param f/u
G8418,Calc bmi blw low param f/u
G8419,Calc bmi out nrm param nof/u
G8420,Calc bmi norm parameters
G8421,Bmi not calculated
G8422,Pt inelig bmi calculation
G8427,Docrev cur meds by elig clin
G8428,Cur meds not document
G8430,Doc med rsn no medrec
G8431,Pos clin depres scrn f/u doc
G8432,"Dep scr not doc, rng"
G8433,Scr for dep not cpt doc rsn
G8442,"Doc pain as nt perf, not elg"
G8450,Beta-bloc rx pt w/abn lvef
G8451,Pt w/abn lvef inelig b-bloc
G8452,Pt w/abn lvef b-bloc no rx
G8458,Pt inelig geno no antvir tx
G8460,Pt inelig rna no antvir tx
G8461,Pt rec antivir treat hep c
G8464,Pt inelig; lo to no dter rsk
G8465,High risk recurrence pro ca
G8473,Ace/arb thxpy rx'd
G8474,Ace/arb not rx'd; doc reas
G8475,Ace/arb thxpy not rx'd
G8476,Bp sys <140 and dias <90
G8477,Bp sys>=140 and/or dias >=90
G8478,Bp not performed/doc
G8482,Flu immunize order/admin
G8483,Flu imm no admin doc rea
G8484,Flu immunize no admin
G8485,"Report, diabetes measures"
G8486,"Report, prev care measures"
G8487,Report ckd measures
G8489,Cad measures grp
G8490,Ra measures grp
G8491,Hiv/aids measures grp
G8492,Periop care measures grp
G8493,Back pain measures grp
G8494,Dm meas qual act perform
G8495,Ckd meas qual act perform
G8496,Prev care mg qual act perfrm
G8497,Cabg meas qual act perform
G8498,Cad meas qual act perform
G8499,Ra meas qual act perform
G8500,Hiv meas qual act perform
G8501,Perio meas qual act perform
G8502,Back pain mg qual act perfrm
G8506,Pt rec ace/arb
G8509,Pos pain assess no f/u doc
G8510,"Scr dep neg, no plan reqd"
G8511,"Scr dep pos, no plan doc rng"
G8530,Auto av fistula recd
G8531,Pt inelig; auto av fistula
G8532,No auto av fistula; no reas
G8535,Eld maltreatment not doc
G8536,No doc elder mal scrn
G8539,Doc funct and care plan
G8540,Foa not doc as being perf
G8541,No doc cur funct assess
